
Calculated Face/Body Area
Entity Info, Area
Face 31725, 5.324457 mm2
Face 31750, 15.144501 mm2
Face 31775, 36.035929 mm2
Face 31776, 51.741785 mm2
Face 29227, 50.916185 mm2
Face 29552, 9.716050 mm2
Face 31777, 51.741785 mm2
Face 29228, 50.916185 mm2
Face 31753, 15.151320 mm2
Face 31729, 5.053752 mm2
Face 29305, 32.290975 mm2
Face 31730, 5.053752 mm2
Face 31731, 5.053752 mm2
Face 29460, 28.144118 mm2
Face 31760, 706.639455 mm2
Face 29461, 9.191617 mm2
Face 29486, 32.098695 mm2
Face 31712, 42.036551 mm2
Face 31762, 706.640102 mm2
Face 31792, 5.053752 mm2
Face 31795, 24.086963 mm2
Face 29422, 28.173542 mm2
Face 29547, 12.262374 mm2
Face 29248, 3331.023206 mm2
Face 31723, 5.324457 mm2
Face 29249, 3328.072806 mm2
Face 31799, 494.310885 mm2
Total Area, 9087.198954 mm2
